Fate/kaleid liner 魔法少女☆伊莉雅,fate_(series)
持刀,holding_knife
拿着叉子,holding_fork
持剪刀,holding_scissors
拿着螺丝刀,holding_screwdriver
间谍过家家,spy_x_family
安妮亚（间谍过家家）,anya_(spy_x_family)
弗兰基·弗兰克林,franky_franklin
尤因·埃杰堡,ewen_egeburg
呪術廻戦,jujutsu_kaisen
咒术回战 Modulo,jujutsu_kaisen_modulo
莲之大三角,hasu_no_daisankaku
青山澄香,aoyama_sumika
nijisanji_koshien,nijisanji_koshien
umitsuki_natsuzou,umitsuki_natsuzou
孤独摇滚!,bocchi_the_rock!
青肌波奇,aohada_bocchi
拿着Pocky,holding_pocky
石纪元,dr._stone
芙莉莲,frieren
弗利萨,frieza
Free!,free!
弗雷,fray_myste
初号机 (机甲),evangelion_(mecha)
使徒 (新世纪福音战士),angel_(evangelion)
滝沢京子,takizawa_kyouko
堕落弹丸(E.G.O),fell_bullet_(e.g.o)
火影忍者(系列),naruto_(series)
星星公主,narutaru
nato-kun,nato-kun
naruto_shippuuden:_ultimate_ninja_blazing,naruto_shippuuden:_ultimate_ninja_blazing
境·界,bleach
露天看台,bleachers
弗莱彻,fletcher_(kancolle)
dark_shadow,dark_shadow
海賊王,one_piece
连体泳衣晒痕,one-piece_tan
单袖,single_sleeve
心形单眼罩,heart_eyepatch
单眼罩,eyepatch
单肩衫,single-shoulder_shirt
一寸,issun
七龙珠,dragon_ball
龙珠Z,dragon_ball_z
甜蜜球,love_ball
德洛塞尔·冯·弗格尔,drossel_von_flugel
dragoon_(dokibird),dragoon_(dokibird)
heavyblade_rabbit,heavyblade_rabbit
钓球,tsuritama
刀剑神域,sword_art_online
刀剑神域 进击篇,sword_art_online_progressive
鬼刀,ghostblade
Stickam,stickam
sword_art_online:_unleashed_blading,sword_art_online:_unleashed_blading
eydis_(sao),eydis_(sao)
Love Live!,love_live!
Link! Like! Love Live!,link!_like!_love_live!
学园偶像计划,love_live!_school_idol_project
I do me! (Love Live!),i_do_me!_(love_live!)
Do! Do! Do! (Love Live!),do!_do!_do!_(love_live!)
马娘,umamusume
乌贼娘,ikamusume
小栗帽(灰之奇迹)（马娘）,oguri_cap_(ashen_miracle)_(umamusume)
池添谦一,ikezoe_ken'ichi
kurame,kurame
mini-ikamusume,mini-ikamusume
amyi,amyi
世界计划,project_sekai
秘密的情人节大作战！ (世界计划),himitsu_no_valentine_daisakusen!_(project_sekai)
MORE MORE JUMP! (世界计划),more_more_jump!_(project_sekai)
星乃一歌（世界计划）,hoshino_ichika_(project_sekai)
我的足迹,boku_no_ashiato_kimi_no_yukusaki_(project_sekai)
多彩庆典 (Project Sekai),colorful_festival_(project_sekai)
偶像大师,idolmaster
偶像大师 1,idolmaster_1
纯白的回忆 (偶像大师),pure_white_memories_(idolmaster)
Strawberry Pop Moon (偶像大师),strawberry_pop_moon_(idolmaster)
制作人（偶像大师）,producer_(idolmaster)
制作人（偶像大师）,trainer_(idolmaster)
白莲,hakuren
博丽神社,hakurei_shrine
Jururu,jururu
nakahara_masaru,nakahara_masaru
雾雨魔理沙,kirisame_marisa
圣诞节,christmas
ogasawara_hisame,ogasawara_hisame
十六夜亚纪,izayoi_aki
十六夜莉子,izayoi_liko
kaya,kaya_(hazakura_hinata)
saaya,saaya_(kirome)
剑之圣女,sword_maiden
神社,shrine
女祭司,priestess
Rabbitmaiden Softworks,rabbitmaiden_softworks
绯红女巫,scarlet_witch
斯卡蕾特,scarlet_(ff7)
夏洛特,charlotte_(madoka_magica)
你好夏洛特,hello_charlotte
巫女,miko
米尔科,mirko
bikko,bikko
kagaya_miki,kagaya_miki
阿尔托莉雅·潘德拉贡,saber_(fate)
阿尔托莉雅·潘德拉贡〔Alter〕,saber_alter
狮SABER,saber_lion
阿尔托莉雅·潘德拉贡 (Fate) (角色扮演),saber_(fate)_(cosplay)
Saber Alter（Fate/stay night）,saber_alter_(fate/stay_night)
o_o,o_o
sameko_saba,sameko_saba
阿斯托尔福(Saber)(首次升华),astolfo_(saber)_(first_ascension)_(fate)
遠坂凛,tohsaka_rin
远山伦,tooyama_rin
meiko_(inuarashi),meiko_(inuarashi)
fault!!,fault!!
terui_soushichi,terui_soushichi
toyohara_etsuko,toyohara_etsuko
间桐桜,matou_sakura
樱花樱花,sakura_sakura
樋泉凛音,hiizumi_rinne
坠落的圣战士 疯狂天使,ochite_iku_seisenshi_lunatic_angels
tsukada_satoru,tsukada_satoru
honjou_satoru,honjou_satoru
卫宫,archer_(fate)
阿波罗（精灵宝可梦）,archer_(pokemon)
Archer Alter,archer_alter_(fate)
Archer (Fate) (角色扮演),archer_(fate)_(cosplay)
灾厄珍妮,calamity_jane_(fate)
admiral_shiro,admiral_shiro_(shino)
royal_arsenal,royal_arsenal
卡美洛 (Fate/Grand Order),camelot_(fate/grand_order)
吉尔伽美什,gilgamesh_(fate)
吉尔伽美什 (Fate) (cosplay),gilgamesh_(fate)_(cosplay)
吉尔伽美什(Establishment),gilgamesh_(establishment)_(fate)
王之财宝 (Fate),gate_of_babylon_(fate)
吉尔伽美什（Fate/stay night）,gilgamesh_(casual_wear)_(fate/stay_night)
井矢见,iyami
阿米娅·阿拉尼亚,amiya_aranha
aimyu,aimyu
墨西哥,mexico
洛克萨斯,roxas
Nexas,nexas_(vtuber)
拉普兰德（明日方舟）,lappland_(arknights)
垂饰（头饰）,lappet
拉普兰德（明日方舟）,lappland_(refined_horrormare)_(arknights)
蛋蛋,exeggcute
埃克斯蒂ア·索尔,exs-tia
xAI,xai_(company)
艾克西亚,exia_(nikke)
莎弥拉,samira
僧间理亜,souma_ria
samarie,samarie_(fear_&_hunger)
伊弗利特（最终幻想）,ifrit_(final_fantasy)
伊芙利特（明日方舟）,ifrit_(arknights)
iz,iz_(asteroid_ill)
IRIAM,iriam
史尔特尔（明日方舟）,surtr_(arknights)
萨提尔,satyr
urotsuki,urotsuki
西装外套,blazer
燃烧烈焰,burning_blaze
燃烧,burning
PLAVE,plave
羽入,hanyuu
加农,ganon
ryuukyuu,ryuukyuu
瓦斯弹,koffing
刻晴（原神）,keqing_(genshin_impact)
kashiyuka,kashiyuka
cheep_cheep,cheep_cheep
星野日向,hoshino_hinata
关刀,guan_dao
hime_hajime,hime_hajime
雷电将军,raiden_shogun
雷电将军 (角色扮演),raiden_shogun_(cosplay)
萨姆（崩坏:星穹铁道）,sam_(honkai:_star_rail)
梦幻之幻想,mugen_no_fantasia
seitenkango._shinyuu_to,seitenkango._shinyuu_to
火锅,nabe
西片,nishikata
nanika,nanika_(azumi_inori)
nila,nila_(telepurte)
注音假名,furigana
芙宁娜（原神）,furina_(genshin_impact)
iri_flina,iri_flina
fatina,fatina
艾露露,eruruu
呼啦舞,hula
uboa,uboa
乌拉拉,ulala
琪亚娜,kiana_kaslana
杵,kine
priana,priana
NANA,nana_(series)
布洛妮娅,bronya_rand
布洛妮娅·扎伊切克,bronya_zaychik
布兰卡,blanka
小海狮,seel
海魔狮,sealeo
塞舌尔,seychelles_(hetalia)
selene（精灵宝可梦）,selene_(pokemon)
乐园,elysion
妖精爱莉,elf_elysia
艾莉丝,iris_(mega_man)
艾莉亚,alia_(mega_man)
卡芙卡（崩坏:星穹铁道）,kafka_(honkai:_star_rail)
日比野卡夫卡,hibino_kafka
火火里绫火,kagari_ayaka
火车站站台,train_station_platform
kagaya_you,kagaya_you
白箱,shirobako
白无垢,shiromuku
chikanoko,chikanoko
otonashi_kiruko,otonashi_kiruko
星野爱,hoshino_ai
星野琉璃,hoshino_ruri
Moona Hoshinova,moona_hoshinova
雏见空,hina_misora
日向美BitterS,hinabita
tayo,tayo
结城明日奈,asuna_(sao)
朝日奈夕仁,asahina_yuni
asahina_mitsuru,asahina_mitsuru
arunira,arunira
惠惠,megumin
惠惠 (角色扮演),megumin_(cosplay)
Meg,meg_(wakamepiza)
MEMちょ,memcho
蕾姆·加雷乌,rem_galeu
绫小路丽梦,ayanokouji_rem
雷姆,rem_(re:zero)_(cosplay)
颜色变体,color_variation
en_ciel_rena,en_ciel_rena_(sin)
初音未来,hatsune_miku
初音米库欧,hatsune_mikuo
minato_matsuki,minato_matsuki
sugisaki_miku,sugisaki_miku
远藤灵梦,reimu_endou
灵梦之日,reimu_day
蕾姆鲁,reml
kimeemaru,kimeemaru
魔理沙之日,marisa_day
玛丽,mary_(ib)
十六夜咲夜,izayoi_sakuya
咲夜レーナ,sakuya_reina
蕾米莉亚之日,remilia_day
蕾米莉亚·斯卡雷特,remilia_scarlet
razia,razia
家庭,family
芙兰朵露之日,flandre_day
照明弹/光斑,flare
弗兰,frankenstein's_monster_(fate)
琪露诺,cirno
琪露诺姐,cirno-nee
niconico,niconico
妮诺,nino_(arakawa)
掏耳朵,mimikaki
米米卡,mimiga
figma,figma
mafumafu,mafumafu
能量,energy
电源标志,power_symbol
电力,electricity
腿交,naizuri
灶门祢豆子,kamado_nezuko
Vei,vei_(vtuber)
久岐忍,kuki_shinobu
工藤忍,kudo_shinobu
ninin_ga_shinobuden,ninin_ga_shinobuden
shibafu风格,shibafu_(glock23)_(style)
甘露寺蜜璃,kanroji_mitsuri
三指撑地,mitsuyubi
金发,blonde_hair
蓝发,blue_hair
金色胡须,blonde_facial_hair
玩弄自己的头发,playing_with_own_hair
发丝,hair_strand
blonde_girl_(okpriko),blonde_girl_(okpriko)
blonde_hair-chan_(ramchi),blonde_hair-chan_(ramchi)
棕发,brown_hair
棕色面部毛发,brown_facial_hair
湿发,wet_hair
灰色发带,grey_hairband
绿发,green_hair
灰色毛发,grey_fur
黑发,black_hair
黑色发带,black_hairband
黑色胡须,black_facial_hair
黑色发圈,black_scrunchie
black_hair-chan (ramchi),black_hair-chan_(ramchi)
白发,white_hair
白色胡须,white_facial_hair
白胡子,white_beard
白色皮毛,white_fur
红发,red_hair
红色胡须,red_facial_hair
红色发带,red_headband
红色发带,red_hairband
蓝皮毛,blue_fur
蓝色胡须,blue_facial_hair
粉发,pink_hair
粉色毛皮,pink_fur
粉色发圈,pink_scrunchie
pink_(ohasi),pink_(ohasi)
紫发,purple_hair
紫色毛皮,purple_fur
粉色尾巴,pink_tail
绿色皮毛,green_fur
绿色尾巴,green_tail
银色发带,silver_hairband
银色皮肤,silver_skin
橙色发带,orange_hairband
狮子鬃毛,lion_mane
银色发圈,silver_circlet
橙发,orange_hair
橙色毛皮,orange_fur
多色发,multicolored_hair
双色发,two-tone_hair
多色发带,multicolored_hairband
彩虹发,rainbow_hair
三色头发,three-tone_hair
渐变发,gradient_hair
渐变皮毛,gradient_fur
条纹发色,striped_hair
高耸发型,tall_hair
头发垂落,hair_flowing_over
理发,hairdressing
长发,long_hair
长胡须,long_beard
鬓发,sidelocks
长发化,alternate_hair_length_(longer)
长辫子,long_braid
短发,short_hair
短发辫,short_braid
剃头,shaved_head
极短发,very_short_hair
中发,medium_hair
中号连衣裙,medium_dress
中等长度鬓角,medium_sideburns
不同发型,alternate_hairstyle
极长发,very_long_hair
极长的胡须,very_long_beard
马尾,ponytail
发圈,ponytail_holder
衔着Pocky,pocky_in_mouth
cottontail_(vtuber),cottontail_(vtuber)
双马尾,twintails
双马尾之日,twintails_day
双色翅膀,two-tone_wings
动物交配,mating_(animal)
两条尾巴,two_tails
twintail-chan_(white-stew),twintail-chan_(white-stew)
辫子,braid
编辫子的胡须,braided_beard
剪发,cutting_hair
布莱德,blaidd_the_half-wolf
刺头,pointy_hair
长刘海,long_bangs
手镯,bangle
拿着贝斯,holding_bass_guitar
贝斯,bass_guitar
呆毛,ahoge
呆毛摇动,ahoge_wag
doge,doge
侧马尾,side_ponytail
短侧马尾,short_side_ponytail
高侧马尾,high_side_ponytail
侧骑,sidesaddle
侧面,profile
乱发,messy_hair
凌乱的,messy
散乱的头发,stray_hair
头发上的油漆,paint_in_hair
波浪发,wavy_hair
波浪眼,wavy_eyes
头发羽翼,hair_wings
直发,straight_hair
齐发尾,blunt_ends
直立呆毛,upright_ahoge
卷发,curly_hair
卷曲眉毛,curly_eyebrows
多股钻头卷发,multiple_drills
呆毛,cowlick
钻头发,drill_hair
缆线发丝,cable_hair
理发器,hair_clipper
理发器,clippers
碧眼,blue_eyes
棕眼睛,brown_eyes
水色瞳,aqua_eyes
蓝瞳,blue_pupils
oczy,oczy
红眼睛,red_eyes
红眼效果,red-eye_effect
红瞳,red_pupils
绿眼睛,green_eyes
绿框眼镜,green-framed_eyewear
灰瞳,grey_eyes
绿色瞳孔,green_pupils
棕色眼影,brown_eyeshadow
灰色瞳孔,grey_pupils
黄眼睛,yellow_eyes
黄色眼影,yellow_eyeshadow
彩虹眼,rainbow_eyes
橙瞳,orange_eyes
黄瞳,yellow_pupils
紫眼睛,purple_eyes
粉瞳,pink_eyes
紫色眼影,purple_eyeshadow
闭眼,closed_eyes
背对镜头,facing_back
闭眼,closing_eyes
眯眯眼,<|>_<|>
异色瞳,heterochromia
无异色瞳,no_heterochromia
微笑,smile
笑脸,smiley_face
微笑,^_^
微笑,;d
露齿而笑,grin
张嘴,open_mouth
闭上的嘴巴,closed_mouth
开门,open_door
脸红,blush
腮红贴纸,blush_stickers
化妆,makeup
白癜风,vitiligo
看向观众,looking_at_viewer
看向他人,looking_at_another
指向观众,pointing_at_viewer
第一视角手部,pov_hands
看向前方,looking_ahead
看着凸起,looking_at_bulge
观看,watching
望向别处,looking_away
远眺,looking_afar
窗外窥视,looking_through_window
望向窗外,looking_outside
愤怒,angry
生气,annoyed
愤怒,fume
恼怒,exasperation
悲伤,sad
哀伤的微笑,sad_smile
失望,disappointed
不舒服,uncomfortable
失败,failure
难过,;(
惊讶,surprised
突然拥抱,surprise_hug
印象深刻,impressed
害羞,embarrassed
挠头,scratching_head
苦难/困窘,distress
沮丧/挫败,frustrated
不悦,unamused
傲慢面孔,:>=
尴尬,awkward
哭泣,crying
尖叫,screaming
流泪,streaming_tears
抽泣,sobbing
睁眼哭泣,crying_with_eyes_open
大笑,laughing
咯咯笑,giggling
大笑脸,d:
坏笑,smirk
皱眉,frown
小鹿 (色),fawn
昏倒,fainting
撅嘴,pout
波尔特,polt
APT.,apt._(rose_&_bruno_mars)
吐舌,tongue_out
舌头,tongue
说话,talking
拉嘴角,mouth_pull
指着嘴巴,pointing_at_mouth
无表情,expressionless
呆滞的目光,blank_stare
绝望,desperation
一脸茫然,clueless
无语,=_=
空洞的眼神,blank_eyes
乳房,breasts
乳房之日,breasts_day
腹部,stomach
乳房挤在一起,breasts_squeezed_together
巨乳,large_breasts
巨乳,huge_breasts
肥大衣物,baggy_clothes
展示自己的乳房,presenting_own_breasts
硕大的胸肌,huge_pectorals
贫乳,small_breasts
简便裹胸,budget_sarashi
小乳头,small_nipples
偏小的罩杯,undersized_breast_cup
低胸,low-cut
中等乳房,medium_breasts
衣服夹在胸部之间,clothes_between_breasts
条纹胸罩,striped_bra
胸罩,bra
贫乳,flat_chest
贫乳笑话,flat_chest_joke
胸部搁在桌上,breasts_on_table
裸背,bare_back
胸部放在托盘上,breasts_on_tray
乳沟,cleavage
胸部镂空,cleavage_cutout
凸起,bulge
肚脐,navel
肚脐聚焦,navel_focus
NERV,nerv
大腿,thighs
长筒袜,thighhighs
腿,legs
下半身,lower_body
伸出的腿,outstretched_legs
抬腿,legs_up
脚,feet
多条腿,multiple_legs
抬脚,feet_up
鞋子,shoes
穿鞋,putting_on_footwear
举手,hands_up
牵手,holding_hands
看着手,looking_at_hand
看着手,looking_at_hands
伸手,offering_hand
神臂斗士,arms_(game)
武器,weapon
持武器,holding_weapon
手榴弹,grenade
背影,back
回头看,looking_back
回去！,go_back!
倒影,reflection
竖条纹过膝袜,vertical-striped_thighhighs
穿上腿部服饰,putting_on_legwear
膝盖抬起,knees_up
引体向上,pullups
连裤袜,pantyhose
内裤,panties
粉色文胸,pink_bra
透视裤,see-through_pants
Panty,panty_(psg)_(cosplay)
紧身裤,leggings
靴下,socks
五指袜,toe_socks
靴子,boots
拿鞋子,holding_shoes
雪地靴,snow_boots
过膝袜,kneehighs
过膝袜,over-kneehighs
高跟靴,high_heel_boots
立足不稳,uneven_footing
厚底鞋,platform_shoes
乳胶腿袜,latex_legwear
分层腿部服饰,layered_legwear
替换腿部穿着,alternate_legwear
裙子,skirt
裙装西服,skirt_suit
外套,coat
吊袜带,garter_belt
吊袜带,garter_straps
加里,garry_(ib)
gavis_bettel,gavis_bettel
连衣裙,dress
穿衣,dressing
衣服,clothes
制服,uniform
制服背心,uniform_vest
马甲,waistcoat
校服,school_uniform
雄英高校制服,u.a._school_uniform
来禅高校制服,raizen_high_school_uniform
园部高中校服,sonobeno_high_school_uniform
某高中校服,a_certain_high_school_uniform
比基尼,bikini
比基尼日,bikini_day
白色比基尼,white_bikini
粉色比基尼,pink_bikini
泳装,swimsuit
湿透的泳装,wet_swimsuit
泳装打扮,swimsuit_costume
潜水服,wetsuit
泳裤,swim_trunks
内衣,underwear
男士内裤,male_underwear
隔衣自慰,masturbation_under_clothes
内衬衣,undershirt
双色内裤,two-tone_panties
裤子,pants
粉色裤子,pink_pants
细带文胸,string_bra
护胸,muneate
黑色运动内衣,black_sports_bra
双色运动内衣,two-tone_sports_bra
女式内衣,lingerie
不成套的内衣,mismatched_underwear
女仆,maid
女仆之日,maid_day
女服务生,waitress
服务员,waiter
家庭主妇,housewife
和服,kimono
和服裙,kimono_dress
kyonko,kyonko
浴衣,yukata
掀起浴衣,yukata_lift
yuksi,yuksi_(yuksi)
yuyusu,yuyusu_(cookie)
西装,suit
西装外套,suit_jacket
服装,costume
请穿上吧,haite_kudasai_takamine-san
夹克,jacket
黄色夹克,yellow_jacket
杰克特,jecht
衬衫,shirt
T恤,t-shirt
毛衣,sweater
毛衣裙,sweater_dress
连帽衫,hoodie
掀起卫衣,hoodie_lift
帽子,hat
哈迪斯小姐,ms._hades
大衣裙,coat_dress
背心,vest
斗篷,cape
斗篷扣,cape_clasp
chakapi,chakapi
铠甲,armor
臂铠,arm_armor
合金装备,metal_gear_solid
连体紧身衣,bodysuit
乳胶紧身衣,latex_bodysuit
全身,full_body
健身服,workout_clothes
皮肤衣,skinsuit
芭蕾舞紧身衣,leotard
扯紧紧身衣,leotard_tug
lattice,lattice_(lattice_sos!)
鞋带,laces
睡衣,pajamas
印花睡衣,print_pajamas
棕色裤子,brown_pants
围裙,apron
紫色围裙,purple_apron
粉色连帽衫,pink_hoodie
牛仔裤,jeans
紧身牛仔裤,skinny_jeans
紫鞋,purple_shoes
短裤,shorts
超短裤,short_shorts
短袜,ankle_socks
短裙,short_dress
帽子带,hat_belt
Hat Kid,hat_kid
出自 Hat Trick,from_hat_trick
丝带,ribbon
勋表/略绶,ribbon_bar
ribbonko-chan,ribbonko-chan
旗杆,flagpole
蝴蝶结,bow
蝴蝶结扣,bow_button
布,boo_(mario)
dooby,dooby
头带,headband
头箍,hairband
头巾,headscarf
围在脖子上的头带,headband_around_neck
发巾,hair_scarf
发带,hair_ribbon
拿着发带,holding_hair_tie
拿着发带,holding_hairband
发卡,hairpin
花发簪,flower_hairpin
发环,hair_rings
耳环,earrings
耳机,earphones
耳饰,ear_ornament
耳钉,stud_earrings
耳链,ear_chain
项链,necklace
时钟项链,clock_necklace
佩戴首饰,putting_on_jewelry
项圈,choker
绳索项圈,string_choker
黑色项圈,black_choker
mr._squeaks,mr._squeaks_(hakos_baelz)
双色项圈,two-tone_choker
腕輪,bracelet
腰带,belt
腕带,wristband
戒指,ring
拿着链子,holding_chain
戒指盒,ring_box
响,hibiki_(kancolle)
打响指,snapping_fingers
手套,gloves
戴上手套,putting_on_gloves
拿着手套,holding_gloves
拿着手帕,holding_handkerchief
金属腰带,metal_belt
项圈,collar
系领带,tying_necktie
围巾,scarf
围巾怪,scarfy
包,bag
熊包,bear_bag
包包,pam-pam
背包,backpack
购物袋,grocery_bag
雨伞,umbrella
沙滩伞,beach_umbrella
雨,rain
披风,cloak
眼镜,glasses
玻璃,glass
glasses_nun_(diva),glasses_nun_(diva)
戴眼镜的,bespectacled
太阳镜,sunglasses
白框眼镜,white-framed_eyewear
佩戴在眼部的护目镜,goggles_on_eyes
运动太阳镜,sports_sunglasses
印花单眼罩,print_eyepatch
口帕奇,kuchipatchi
面具,mask
戴面具的,masked
口罩,mouth_mask
蒙脸,covered_face
翅膀,wings
鸟翼,bird_wings
羽翼,feathered_wings
尾巴,tail
尾环,tail_ring
tailblue,tailblue
大尾巴,large_tail
短尾巴,short_tail
猫耳,cat_ears
猫耳耳机,cat_ear_headphones
猫耳耳机,axent_wear
兽耳,animal_ears
兽耳戴耳机,earphones_on_animal_ears
多对兽耳,multiple_animal_ears
兽耳耳环,animal_ear_earrings
犰狳耳朵,armadillo_ears
宠物,pet
动物耳罩,animal_earmuffs
角,horns
牛角手势,horns_pose
胡须,facial_hair
haks,haks
光环,halo
敬礼,salute
Hello,hello_happy_world!
你好,hello_planet_(vocaloid)
OK手势,ok_sign
虎牙,fang
露出尖牙,fang_out
fang_assassin_irma,fang_assassin_irma
FN FAL,fn_fal
纹身,tattoo
文字纹身,text_tattoo
手指纹身,finger_tattoo
角色纹身,character_tattoo
多处刺青,multiple_tattoos
绷带,bandages
缠在衣服外的绷带,bandages_over_clothes
包扎中,applying_bandages
裹起来,wrapped_up
耳机,headphones
拿着耳机,holding_headphones
手按在耳机上,hand_on_headset
耳机,headset
痣,mole
鼹鼠,mole_(animal)
sprout_mole,sprout_mole
摩根,morgan_(nikke)
雀斑,freckles
雀斑修女(Diva),freckles_nun_(diva)
粉色皮肤,pink_skin
坐着,sitting
仰卧起坐,sit-up
在椅子上,on_chair
躺卧,lying
躺在人身上,lying_on_person
虚伪,hypocrisy
伪装,disguise
假笑,false_smile
站着,standing
站立性交,standing_sex
站在物体上,standing_on_object
跪姿,kneeling
膝击,kneeing
走路,walking
低头,head_down
向后倾斜,leaning_back
倾斜/倚靠,leaning
前倾靠近,leaning_in
靠在桌子上,against_table
伸出手,reaching
伸向他人,reaching_towards_another
走进,walk-in
成就达成,achievement_unlocked
手持,holding
抱着人,holding_person
持手柄,holding_controller
携带,carrying
拿着笼子,holding_cage
抓取,grabbing
从后面抓,grabbing_from_behind
被抓住,caught
抓住别人的手,grabbing_another's_hand
抱起,picking_up
指着,pointing
向上指,pointing_up
指着头,finger_to_head
指着他人,pointing_at_another
伸展,stretching
担架,stretcher
提紧身衣,leotard_pull
伸出的手臂,outstretched_arm
后弯,bending_backward
俯视,from_above
弯腰,bending
折领,fold-over_collar
倒置,top-down_bottom-up
举手,hand_up
举手,arm_up
叉腰,hands_on_own_hips
手放他人髋部,hands_on_another's_hips
手摸自己的脚,hands_on_own_feet
手搭在肩上,hand_on_another's_shoulder
手摸脚,hands_on_feet
双臂上抬,arms_up
双臂举起,double_\n/
双手抱头,arms_behind_head
单臂放在脑后,arm_behind_head
手放在背后,arm_around_back
背后的武器,weapon_on_back
帽子背在身后,hat_on_back
头部有手,head_arms
疾走,running
跑道,running_track
慢跑,jogging
冲刺,dashing
跳跃,jumping
单脚跳,hopping
跳跃,skipping
拿着跳绳,holding_jump_rope
飞行,flying
苍蝇,fly
飞机,airplane
展开翅膀,spread_wings
睡觉,sleeping
困倦,sleepy
睡觉,zzz
进食,eating
食物,food
在食物上,on_food
品尝,tasting
盯着食物,looking_at_food
喝,drinking
饮料,drink
醉酒,drunk
拿着吸管,holding_drinking_straw
战斗,fighting
格斗游戏,fighting_game
战斗,battle
遭受攻击,under_fire
跳舞,dancing
舞者,dancer
舞蹈室,dance_studio
唱歌,singing
音乐,music
听音乐,listening_to_music
玩耍,playing
玩游戏,playing_games
玩游戏,playing_video_games
阅读,reading
一起阅读,reading_together
书写,writing
食物文字,food_writing
